Prim's algorithm,20
Streaming algorithm,0.898541787987,1
HyperLogLog,0.779513266985,1
Randomized rounding,0.749513886678,0
Spreading activation,0.430221222171,0
XOR swap algorithm,0.419011691433,0
Boyer–Moore majority vote algorithm,0.362151688007,0
Driver scheduling problem,0.332029374684,0
In-place algorithm,0.323633525574,0
Distributed tree search,0.312384942323,0
Lossy Count Algorithm,0.27847630079,0
AVT Statistical filtering algorithm,0.273833783228,0
KHOPCA clustering algorithm,0.219541542626,0
Communication-avoiding algorithms,0.204265397343,0
Jump-and-Walk algorithm,0.180345644732,0
Serial algorithm,0.172165519706,0
Sequential algorithm,0.172165519706,0
Devex algorithm,0.170743205075,0
Algorithmics,0.148225284907,0
One-pass algorithm,0.14691357732,0
Adaptive algorithm,0.117256378053,0
Insertion sort,8
Insertion sort,2.99999994339,0
Library sort,1.15595351558,0
Bubble sort,0.954488969265,0
Cocktail shaker sort,0.834681220005,0
Counting sort,0.487828905041,0
Shellsort,0.384472839248,0
Quicksort,0.348677396552,0
Tree sort,0.0209876931135,0
Dijkstra's algorithm,17
Dijkstra's algorithm,2.99999996045,0
Johnson's algorithm,1.0394109086,1
Pathfinding,0.981943799208,0
Floyd–Warshall algorithm,0.921370318356,1
Bellman–Ford algorithm,0.899425371105,1
K shortest path routing,0.876069797785,0
Hopcroft–Karp algorithm,0.816240652725,0
Suurballe's algorithm,0.76416771366,0
Edge disjoint shortest pair algorithm,0.62792818687,0
Contraction hierarchies,0.621377011731,0
Yen's algorithm,0.583918152189,0
Longest path problem,0.401774756316,1
Euclidean shortest path,0.389471197137,1
Shortest Path Faster Algorithm,0.376898181993,0
Link-state routing protocol,0.341574414891,0
Hierarchical closeness,0.202723572244,0
Equal-cost multi-path routing,0.0793952189342,0
JH (hash function),17
JH (hash function),2.99999995251,0
HAS-160,0.96876388136,0
Grøstl,0.904063106203,0
HAS-V,0.809138300214,0
RadioGatún,0.613414455312,0
SHA-3,0.566747591361,0
Cryptographic hash function,0.549572812289,0
N-Hash,0.497121876682,0
SHA-2,0.467915027041,0
Hash list,0.453499527325,0
SANDstorm hash,0.449232833261,0
Comparison of cryptographic hash functions,0.410255856518,0
Merkle–Damgård construction,0.326630420972,0
Collision attack,0.32196579284,0
Hash function security summary,0.315724506945,0
Merkle tree,0.254204695085,0
Hash calendar,0.0791942789332,0
Stack (abstract data type),20
Abstract data type,1.84410631492,0
Peek (data type operation),1.73865877571,0
Obstack,1.54159391255,0
List (abstract data type),1.47581673732,0
Double-ended queue,1.37782901336,0
Queue (abstract data type),1.30765711705,0
Associative array,1.27548533897,0
Multimap,1.0140758617,0
U-form,1.00011033064,0
Collection (abstract data type),0.925689633452,0
Priority queue,0.90338453044,0
Double-ended priority queue,0.792877192289,0
Set (abstract data type),0.774554010167,0
Multiset (abstract data type),0.774554010167,0
Pile (abstract data type),0.688840537204,0
Container (abstract data type),0.635525762006,0
Linked data structure,0.571163431149,0
Iterator,0.494523692607,0
Graph (abstract data type),0.408528687466,0
Kinetic priority queue,0.364861388897,0
Minimax,15
Minimax,2.99999996687,1
Variation (game tree),1.03391513838,0
Alpha–beta pruning,1.01805333497,0
Best Node Search,0.921458744299,0
Nash equilibrium,0.909893776723,0
Expectiminimax tree,0.844067930713,0
Killer heuristic,0.836871730035,0
Search game,0.826637848025,0
Negamax,0.655364635466,0
Late Move Reductions,0.576349154177,0
Price of stability,0.535930790826,0
God's algorithm,0.416942153222,0
MTD-f,0.305291042927,0
Combinatorial search,0.243435204735,0
Knuth's Simpath algorithm,0.0281377264827,0
Sion's minimax theorem,20
Minimax theorem,2.9999998856,0
Max–min inequality,1.88908645329,0
Biconvex optimization,1.82690745004,0
Convex optimization,1.59458999254,0
Danskin's theorem,1.47596780806,0
Conic optimization,1.43579095947,0
Convex analysis,1.29355443991,0
Quasiconvex function,1.19439928447,0
Duality gap,1.14404087707,0
Pseudoconvex function,0.962295551291,0
Fenchel's duality theorem,0.861954718475,0
Linear matrix inequality,0.727712271864,0
Basis pursuit denoising,0.689151574399,0
In-crowd algorithm,0.686968847951,0
Subderivative,0.670714364557,0
Stress majorization,0.609107485689,0
Topological derivative,0.510567602896,0
Shape optimization,0.490085215892,0
Bregman method,0.150016069193,0
Wolfe conditions,0.0970047456805,0
Big O notation,20
Analysis of algorithms,2.35194647749,0
Time complexity,1.94884981037,0
Half-exponential function,1.61262243039,0
Master theorem,1.52529179759,0
Kernelization,1.38834342431,0
Reservoir sampling,1.28725539232,0
Polylogarithmic function,1.21254089091,0
Deterministic algorithm,1.15543388469,0
Bidimensionality,1.09691116783,0
Randomized algorithm,1.05293278198,0
Output-sensitive algorithm,0.922998526139,0
Worst-case complexity,0.863487538898,0
Asymptotically optimal algorithm,0.765270287253,0
Pseudo-polynomial time,0.531424809649,0
Accounting method,0.420060850913,0
Polynomial delay,0.371175431764,0
Probabilistic analysis of algorithms,0.37013074673,0
Charging argument,0.153411003214,0
Memory bound function,0.0996656132226,0
Cache-oblivious algorithm,0.076651372775,0
CYK algorithm,20
Top-down parsing,2.67731283109,0
Left corner parser,2.50513794299,0
Chart parser,2.25923747953,0
Parsing expression grammar,2.12800235316,0
Scannerless parsing,2.12572907795,0
Recursive descent parser,2.09350666332,0
Earley parser,2.07522318459,1
Bottom-up parsing,1.93950629402,0
Shift-reduce parser,1.92804717744,0
LL parser,1.78442471507,0
Simple precedence parser,1.57652889966,0
LR parser,1.30117211363,0
Tail recursive parser,1.23676937459,0
Inside–outside algorithm,1.20336401376,0
Simple LR parser,1.07292416778,0
Recursive ascent parser,1.06677177654,0
Pratt parser,1.03715547782,0
LALR parser,0.978210865493,0
GLR parser,0.856624536187,1
Shunting-yard algorithm,0.712984920052,0
AdaBoost,18
AdaBoost,2.99999996201,0
LogitBoost,1.07567055062,0
BrownBoost,0.98870317749,1
Gradient boosting,0.921610579595,1
Winnow (algorithm),0.889350176853,0
Generalization error,0.749796654845,0
Margin classifier,0.722742482993,0
CoBoosting,0.719471583919,1
Boosting (machine learning),0.527482559877,0
Quadratic classifier,0.467578809232,0
Perceptron,0.448285066575,0
Support vector machine,0.387220771721,0
Decision tree learning,0.261094331326,0
ID3 algorithm,0.236450480556,0
Linear classifier,0.179067437703,0
Statistical classification,0.16042137786,0
Bootstrap aggregating,0.114576728554,1
Cascading classifiers,0.0753148143168,0
Bubble sort,10
Bubble sort,2.99999995123,0
Cocktail shaker sort,1.37708240358,0
Gnome sort,1.24879999013,0
Insertion sort,1.07877194871,0
Comb sort,0.939841448619,0
Partial sorting,0.779501516373,0
Odd–even sort,0.587034149514,0
Shellsort,0.517454307726,0
Merge algorithm,0.451217689562,0
Tree sort,0.149708638455,0
